frame,image_x,image_y,pitch_x,pitch_y,is_key
579,1093.0,820.3,61.13,53.18,0
580,1092.8,821.0,61.1,53.35,0
581,1092.5,821.7,61.07,53.51,0
582,1092.3,822.4,61.04,53.67,0
583,1092.1,823.2,61.01,53.83,0
584,1091.9,823.9,60.98,53.99,0
585,1091.7,824.6,60.95,54.15,1
586,1090.4,825.3,60.85,54.31,0
587,1089.2,826.1,60.75,54.48,0
588,1087.9,826.8,60.66,54.64,1
589,1089.0,826.4,60.73,54.56,0
590,1090.0,826.1,60.81,54.47,0
591,1091.1,825.7,60.89,54.39,0
592,1092.1,825.3,60.96,54.31,0
593,1093.2,825.0,61.04,54.23,0
594,1094.2,824.6,61.12,54.15,1
595,1091.2,826.2,60.89,54.49,0
596,1088.2,827.7,60.66,54.84,0
597,1085.3,829.3,60.43,55.18,0
598,1082.3,830.9,60.21,55.51,0
599,1079.3,832.4,59.99,55.84,0
600,1076.3,834.0,59.77,56.17,0
601,1073.3,835.5,59.55,56.5,0
602,1070.3,837.1,59.34,56.83,0
603,1067.4,838.7,59.12,57.15,0
604,1064.4,840.2,58.91,57.46,0
605,1061.4,841.8,58.7,57.78,1
606,1057.9,843.0,58.47,58.03,0
607,1054.5,844.3,58.24,58.28,0
608,1051.0,845.5,58.01,58.52,0
609,1047.6,846.8,57.78,58.77,0
610,1044.1,848.0,57.55,59.01,0
611,1040.7,849.3,57.32,59.25,0
612,1037.2,850.5,57.1,59.49,1
613,1033.9,851.7,56.89,59.72,0
614,1030.5,852.9,56.67,59.95,0
615,1027.2,854.1,56.46,60.18,0
616,1023.9,855.3,56.25,60.4,0
617,1020.5,856.5,56.04,60.62,0
618,1017.2,857.7,55.84,60.85,0
619,1013.9,858.9,55.63,61.07,0
620,1010.6,860.1,55.43,61.29,0
621,1007.2,861.3,55.22,61.5,0
622,1003.9,862.5,55.02,61.72,1
623,1003.8,863.9,55.01,61.96,0
624,1003.6,865.3,55.0,62.21,1
625,1003.1,865.3,54.97,62.22,0
626,1002.7,865.4,54.94,62.22,0
627,1002.2,865.4,54.92,62.23,0
628,1001.8,865.5,54.89,62.24,0
629,1001.3,865.5,54.86,62.25,0
630,1000.9,865.5,54.84,62.25,0
631,1000.4,865.6,54.81,62.26,0
632,999.9,865.6,54.78,62.27,0
633,999.5,865.7,54.75,62.28,0
634,999.0,865.7,54.73,62.29,0
635,998.6,865.8,54.7,62.29,0
636,998.1,865.8,54.67,62.3,1
637,997.6,865.4,54.64,62.24,0
638,997.0,865.0,54.61,62.17,0
639,996.5,864.7,54.58,62.11,0
640,996.0,864.3,54.54,62.05,0
641,995.4,863.9,54.51,61.98,0
642,994.9,863.5,54.48,61.92,0
643,994.3,863.2,54.45,61.85,0
644,993.8,862.8,54.42,61.79,1
645,984.0,861.4,53.83,61.55,0
646,974.2,859.9,53.23,61.31,0
647,964.4,858.5,52.63,61.06,0
648,954.6,857.1,52.03,60.82,0
649,944.8,855.6,51.42,60.57,0
650,935.0,854.2,50.81,60.32,0
651,925.2,852.7,50.19,60.07,0
652,915.4,851.3,49.56,59.82,0
653,905.6,849.9,48.93,59.56,0
654,895.8,848.4,48.29,59.3,0
655,886.0,847.0,47.65,59.04,1
656,878.0,845.2,47.11,58.71,0
657,870.0,843.4,46.56,58.37,0
658,861.9,841.6,46.0,58.03,0
659,853.9,839.8,45.44,57.68,0
660,845.9,838.0,44.87,57.33,1
661,840.2,836.7,44.46,57.08,0
662,834.4,835.5,44.05,56.83,0
663,828.7,834.2,43.64,56.58,0
664,823.0,833.0,43.22,56.33,0
665,817.3,831.7,42.79,56.07,0
666,811.5,830.5,42.37,55.81,0
667,805.8,829.2,41.94,55.55,1
668,801.4,828.4,41.62,55.4,0
669,797.0,827.7,41.29,55.24,0
