frame,time,team,players,centroid_x,centroid_y
655,327.5,B,20,43.141,34.966
656,328.0,B,17,42.94,34.811
657,328.5,B,22,45.089,37.148
661,330.5,B,18,43.046,39.587
668,334.0,B,20,42.442,49.923
669,334.5,B,17,43.0,49.019
670,335.0,B,17,42.465,51.434
672,336.0,B,24,44.69,49.512
673,336.5,B,19,44.01,48.224
679,339.5,B,15,39.663,47.751
687,343.5,B,17,45.602,47.435
688,344.0,B,16,42.54,47.448
689,344.5,B,16,45.248,46.41
690,345.0,B,17,45.224,47.166
691,345.5,B,17,44.883,46.827
695,347.5,B,23,49.781,44.784
698,349.0,B,19,50.823,43.368
701,350.5,B,19,48.996,43.331
702,351.0,B,18,47.335,43.6
704,352.0,B,18,47.151,43.067
706,353.0,B,16,45.682,47.093
709,354.5,B,19,45.205,43.822
710,355.0,B,20,47.676,43.844
711,355.5,B,19,45.523,43.521
712,356.0,B,19,48.735,42.217
713,356.5,B,20,48.656,43.354
714,357.0,B,20,48.034,42.054
715,357.5,B,20,48.195,42.434
722,361.0,B,23,48.368,43.265
723,361.5,B,18,43.643,39.598
724,362.0,B,24,43.247,36.975
725,362.5,B,20,42.831,38.569
726,363.0,B,22,41.368,37.755
727,363.5,B,23,41.209,37.574
728,364.0,B,22,35.569,35.757
730,365.0,B,22,35.759,34.364
731,365.5,B,21,34.981,34.071
735,367.5,B,24,41.202,33.995
736,368.0,B,22,38.948,29.833
738,369.0,B,23,36.938,27.791
739,369.5,B,27,41.151,30.813
740,370.0,B,22,39.206,26.748
741,370.5,B,21,38.673,26.655
742,371.0,B,25,41.46,25.573
743,371.5,B,22,37.89,28.316
744,372.0,B,26,40.875,23.437
745,372.5,B,23,39.839,22.742
746,373.0,B,18,37.307,20.681
748,374.0,B,21,37.685,21.468
749,374.5,B,27,44.802,21.995
750,375.0,B,14,34.076,20.512
751,375.5,B,18,37.298,21.024
752,376.0,B,24,45.048,25.792
756,378.0,B,16,40.384,22.024
759,379.5,B,16,37.163,22.782
760,380.0,B,21,40.897,21.401
761,380.5,B,15,42.365,22.095
762,381.0,B,18,39.788,24.363
763,381.5,B,23,38.026,19.858
766,383.0,B,17,43.856,23.582
767,383.5,B,27,46.52,29.794
768,384.0,B,20,44.653,24.474
769,384.5,B,17,43.031,25.538
770,385.0,B,20,44.202,25.703
771,385.5,B,35,49.412,28.833
772,386.0,B,32,44.975,26.152
773,386.5,B,17,45.17,26.343
774,387.0,B,28,49.118,26.006
775,387.5,B,22,50.955,25.56
776,388.0,B,30,51.852,24.674
777,388.5,B,24,52.726,27.975
778,389.0,B,19,52.296,26.027
779,389.5,B,23,54.069,28.493
780,390.0,B,19,52.859,26.529
781,390.5,B,17,52.464,27.192
782,391.0,B,29,58.691,28.336
783,391.5,B,19,56.892,29.932
792,396.0,B,14,52.224,38.438
794,397.0,B,17,53.615,42.267
796,398.0,B,23,48.907,45.003
797,398.5,B,17,49.67,43.977
798,399.0,B,19,51.186,45.169
801,400.5,B,18,49.132,44.271
802,401.0,B,19,49.928,45.081
806,403.0,B,17,52.645,40.687
807,403.5,B,16,50.958,41.911
808,404.0,B,18,52.525,39.765
809,404.5,B,19,48.563,40.317
810,405.0,B,22,45.3,40.916
811,405.5,B,16,42.214,38.787
812,406.0,B,22,40.048,41.171
813,406.5,B,21,37.109,40.971
814,407.0,B,27,36.857,42.619
815,407.5,B,20,36.935,42.293
816,408.0,B,25,37.976,42.52
817,408.5,B,24,35.473,41.995
820,410.0,B,19,37.677,40.386
822,411.0,B,19,36.48,40.154
823,411.5,B,18,36.727,39.708
824,412.0,B,20,39.463,39.84
825,412.5,B,19,38.914,38.875
826,413.0,B,19,38.899,38.585
827,413.5,B,19,39.423,37.553
828,414.0,B,21,38.206,35.244
829,414.5,B,27,46.011,35.24
830,415.0,B,19,39.141,35.39
831,415.5,B,18,38.535,34.465
832,416.0,B,19,38.511,34.658
833,416.5,B,16,34.637,34.123
834,417.0,B,17,39.574,33.436
837,418.5,B,19,37.316,33.578
838,419.0,B,21,38.031,33.461
839,419.5,B,26,40.563,34.496
843,421.5,B,19,34.672,33.044
846,423.0,B,24,35.647,32.385
847,423.5,B,18,37.716,32.318
851,425.5,B,21,35.373,32.621
852,426.0,B,26,37.723,34.441
853,426.5,B,18,39.515,33.876
854,427.0,B,17,40.302,33.351
855,427.5,B,22,48.555,35.824
856,428.0,B,20,44.094,35.529
857,428.5,B,21,47.723,36.319
858,429.0,B,23,47.345,37.15
860,430.0,B,18,41.977,36.563
861,430.5,B,21,43.041,39.18
867,433.5,B,17,41.228,44.84
868,434.0,B,20,43.909,45.744
870,435.0,B,24,45.427,47.698
872,436.0,B,18,46.459,47.936
875,437.5,B,20,45.775,47.997
878,439.0,B,20,45.294,48.668
880,440.0,B,20,44.708,46.844
881,440.5,B,22,39.648,46.858
882,441.0,B,19,40.698,45.912
883,441.5,B,18,38.921,44.769
884,442.0,B,20,39.439,45.215
886,443.0,B,23,39.684,45.327
888,444.0,B,21,35.737,44.63
890,445.0,B,29,35.991,41.41
891,445.5,B,22,35.073,42.651
892,446.0,B,24,34.491,41.926
893,446.5,B,32,33.743,42.702
894,447.0,B,25,34.214,43.465
895,447.5,B,30,34.572,40.971
896,448.0,B,24,31.709,41.165
897,448.5,B,21,31.618,41.621
898,449.0,B,22,32.208,40.621
899,449.5,B,27,37.339,39.82
900,450.0,B,30,33.537,38.826
901,450.5,B,22,36.722,36.25
902,451.0,B,23,34.203,39.451
903,451.5,B,21,32.691,38.701
904,452.0,B,21,35.58,37.549
905,452.5,B,24,36.58,38.371
906,453.0,B,22,37.299,35.712
907,453.5,B,28,38.469,37.639
908,454.0,B,18,39.326,36.747
911,455.5,B,15,39.817,37.714
913,456.5,B,22,36.384,37.171
915,457.5,B,22,33.249,38.487
916,458.0,B,19,37.308,38.013
917,458.5,B,18,38.884,36.79
918,459.0,B,22,36.186,36.618
919,459.5,B,22,37.351,36.691
921,460.5,B,26,42.196,38.796
922,461.0,B,19,43.384,37.759
