player_id,team,samples,distance_m,max_speed_mps
276,B,10,47.67,26.2
277,B,23,65.57,17.67
278,B,16,78.41,10.92
279,B,3,39.24,11.27
280,B,5,1.09,0.44
281,B,5,0.0,0.0
283,B,10,28.11,43.45
284,B,13,70.12,28.29
285,B,102,327.88,23.38
286,B,3,1.7,1.07
287,B,237,805.61,46.27
288,B,45,170.28,29.05
289,B,6,35.32,18.67
290,B,14,70.69,15.09
291,B,29,103.46,12.8
292,B,13,45.17,14.31
293,B,1,0.0,0.0
294,B,75,254.81,24.94
295,B,82,231.27,27.43
296,B,10,33.33,14.07
297,B,8,22.61,5.84
298,B,84,225.18,30.42
299,B,11,78.14,11.94
300,B,63,212.08,35.39
301,B,97,161.35,29.13
302,B,60,210.17,31.41
303,B,137,431.08,55.91
304,B,75,235.47,48.58
305,B,20,23.22,3.87
306,B,2,0.0,0.0
307,B,5,0.93,0.44
308,B,18,37.84,18.97
309,B,1,0.0,0.0
310,B,44,146.77,20.72
311,B,33,160.12,33.64
312,B,1,0.0,0.0
313,B,63,104.07,24.87
314,B,71,145.8,51.83
315,B,70,135.34,8.91
316,B,50,214.13,46.19
317,B,39,118.19,27.11
318,B,9,48.77,39.45
319,B,43,115.4,18.27
320,B,38,115.82,26.01
321,B,1,0.0,0.0
322,B,34,102.02,37.53
323,B,68,264.87,33.94
324,B,20,112.64,20.84
325,B,1,0.0,0.0
326,B,14,38.75,10.36
327,B,1,0.0,0.0
328,B,14,70.23,30.11
329,B,6,10.05,7.71
330,B,1,0.0,0.0
331,B,1,0.0,0.0
332,B,44,141.92,31.69
333,B,12,32.49,6.21
334,B,64,102.27,45.56
335,B,11,69.47,7.76
336,B,2,8.47,8.47
337,B,2,8.1,4.05
338,B,15,104.54,29.53
339,B,32,113.5,8.1
340,B,89,258.08,24.71
341,B,11,45.67,8.25
342,B,5,12.42,9.36
343,B,4,23.55,11.55
344,B,6,8.49,4.84
345,B,32,72.73,8.26
346,B,4,9.46,6.73
347,B,36,111.3,37.33
348,B,1,0.0,0.0
349,B,2,1.61,3.22
350,B,36,81.07,25.64
351,B,1,0.0,0.0
352,B,1,0.0,0.0
353,B,20,46.55,9.46
354,B,90,320.15,60.28
355,B,16,35.55,3.79
356,B,5,44.55,9.02
357,B,20,58.68,11.21
358,B,53,145.02,17.39
359,B,146,413.94,40.46
360,B,57,185.72,58.35
361,B,23,107.24,27.64
362,B,45,149.26,24.58
363,B,1,0.0,0.0
364,B,16,37.28,4.57
365,B,18,112.52,23.45
366,B,16,64.75,12.49
367,B,117,307.62,16.61
368,B,10,38.26,17.99
369,B,12,50.78,13.06
370,B,1,0.0,0.0
371,B,37,140.08,52.65
372,B,16,41.98,11.93
373,B,1,0.0,0.0
374,B,2,0.0,0.0
375,B,4,8.24,1.71
376,B,26,102.08,9.35
377,B,31,92.78,30.91
378,B,25,45.21,11.37
379,B,35,53.51,16.14
380,B,20,42.02,36.92
381,B,25,57.93,17.49
382,B,25,47.15,11.28
