frame,time,team,players,centroid_x,centroid_y
941,470.5,B,22,73.211,49.648
942,471.0,B,20,69.292,51.876
943,471.5,B,23,69.774,53.12
944,472.0,B,19,69.88,51.554
945,472.5,B,15,69.917,53.547
946,473.0,B,17,70.868,51.502
947,473.5,B,22,73.18,50.107
948,474.0,B,19,74.706,52.426
949,474.5,B,20,73.963,50.187
950,475.0,B,19,73.521,49.367
951,475.5,B,15,72.35,51.412
952,476.0,B,14,75.475,49.765
953,476.5,B,14,73.768,50.867
958,479.0,B,18,73.685,51.955
959,479.5,B,13,72.727,51.723
960,480.0,B,14,71.742,52.447
961,480.5,B,18,73.196,52.384
962,481.0,B,15,72.697,51.419
963,481.5,B,10,70.778,51.958
964,482.0,B,13,71.798,53.098
965,482.5,B,11,70.411,52.84
966,483.0,B,12,69.36,53.88
967,483.5,B,13,70.298,54.379
968,484.0,B,11,69.624,54.933
969,484.5,B,12,69.873,55.764
970,485.0,B,13,69.297,58.036
971,485.5,B,13,69.285,55.522
972,486.0,B,12,68.161,57.495
973,486.5,B,11,67.927,56.307
974,487.0,B,11,67.524,56.662
975,487.5,B,12,68.208,57.743
976,488.0,B,15,68.798,58.367
977,488.5,B,12,68.481,57.315
978,489.0,B,17,69.02,57.567
979,489.5,B,12,66.583,58.87
980,490.0,B,13,67.146,58.312
981,490.5,B,9,65.654,57.208
982,491.0,B,12,67.565,59.022
983,491.5,B,16,68.017,58.41
984,492.0,B,14,66.614,58.339
985,492.5,B,10,65.557,56.061
986,493.0,B,12,67.375,54.858
987,493.5,B,13,65.849,57.448
988,494.0,B,13,67.082,56.951
989,494.5,B,13,66.796,58.092
990,495.0,B,15,67.661,55.828
991,495.5,B,13,67.607,57.203
992,496.0,B,14,68.593,57.251
993,496.5,B,16,68.982,56.935
994,497.0,B,14,68.637,56.085
995,497.5,B,14,68.03,56.943
996,498.0,B,17,69.175,55.005
997,498.5,B,15,67.839,55.803
998,499.0,B,16,68.949,53.739
999,499.5,B,16,68.229,56.151
1000,500.0,B,16,67.536,54.07
1001,500.5,B,13,67.651,53.084
1002,501.0,B,19,67.783,55.298
1003,501.5,B,16,68.428,53.365
1004,502.0,B,22,67.929,56.52
1005,502.5,B,16,66.814,53.266
1006,503.0,B,14,66.409,51.236
1007,503.5,B,17,68.819,53.08
1008,504.0,B,21,67.555,51.375
1009,504.5,B,28,68.935,51.482
1010,505.0,B,22,70.738,50.585
1011,505.5,B,26,71.031,48.977
1015,507.5,B,24,69.796,50.921
1016,508.0,B,19,70.989,47.506
1017,508.5,B,20,70.277,50.542
1018,509.0,B,16,72.308,49.732
1019,509.5,B,15,72.561,46.051
1020,510.0,B,17,72.132,46.297
1021,510.5,B,17,71.824,48.856
1022,511.0,B,20,72.95,49.739
1023,511.5,B,19,72.855,49.855
1025,512.5,B,19,74.751,47.777
1028,514.0,B,21,75.24,46.902
1029,514.5,B,18,74.899,44.628
1030,515.0,B,18,74.34,44.275
1031,515.5,B,15,74.069,46.134
1032,516.0,B,16,77.342,43.854
1034,517.0,B,16,77.07,45.537
1035,517.5,B,21,79.261,46.376
1038,519.0,B,16,78.073,47.467
1039,519.5,B,14,75.461,48.127
1040,520.0,B,17,76.894,46.289
1041,520.5,B,15,74.416,47.993
1044,522.0,B,17,72.511,46.57
1046,523.0,B,18,71.547,45.463
1048,524.0,B,17,70.41,45.346
1050,525.0,B,18,69.035,44.746
1051,525.5,B,19,68.448,44.127
1052,526.0,B,17,66.292,42.268
1053,526.5,B,18,64.02,42.068
1054,527.0,B,20,64.201,42.328
1055,527.5,B,19,62.981,42.396
1057,528.5,B,19,63.93,42.608
1059,529.5,B,16,58.735,43.297
1060,530.0,B,22,57.578,41.115
1061,530.5,B,23,57.203,45.275
1062,531.0,B,19,58.757,42.87
1063,531.5,B,17,55.432,45.364
1064,532.0,B,20,56.63,40.4
