frame,time,team,player,screen_x,screen_y,pitch_x,pitch_y,in_pitch,track_id
232,9.67,黒,黒3,1461.9,761.3,92.955,36.359,1,1
233,9.711,黒,黒3,1461.8,761.3,92.933,36.384,1,1
234,9.753,黒,黒3,1461.7,761.4,92.912,36.408,1,1
235,9.795,黒,黒3,1461.4,761.4,92.882,36.416,1,1
236,9.836,黒,黒3,1461.3,761.5,92.863,36.441,1,1
237,9.878,黒,黒3,1461.1,761.6,92.837,36.467,1,1
238,9.92,黒,黒3,1461.0,762.2,92.739,36.672,1,1
239,9.961,黒,黒3,1460.9,762.3,92.708,36.725,1,1
240,10.003,黒,黒3,1460.9,762.8,92.641,36.883,1,1
241,10.045,黒,黒3,1460.9,763.4,92.559,37.069,1,1
242,10.087,黒,黒3,1460.9,763.6,92.523,37.145,1,1
243,10.128,黒,黒3,1460.8,763.7,92.506,37.167,1,1
244,10.17,黒,黒3,1460.7,763.7,92.499,37.172,1,1
245,10.212,黒,黒3,1460.7,763.7,92.492,37.185,1,1
246,10.253,黒,黒3,1460.7,763.8,92.487,37.198,1,1
247,10.295,黒,黒3,1460.7,763.6,92.512,37.147,1,1
248,10.337,黒,黒3,1460.7,763.6,92.503,37.16,1,1
249,10.378,黒,黒3,1460.6,763.7,92.49,37.181,1,1
250,10.42,黒,黒3,1460.6,764.0,92.449,37.263,1,1
251,10.462,黒,黒3,1460.5,764.5,92.371,37.435,1,1
252,10.503,黒,黒3,1460.5,765.0,92.295,37.607,1,1
253,10.545,黒,黒3,1460.5,765.7,92.185,37.855,1,1
254,10.587,黒,黒3,1460.5,765.9,92.157,37.919,1,1
255,10.628,黒,黒3,1460.5,766.2,92.123,37.999,1,1
256,10.67,黒,黒3,1460.6,766.5,92.086,38.098,1,1
257,10.712,黒,黒3,1460.6,766.7,92.055,38.165,1,1
258,10.753,黒,黒3,1460.7,766.7,92.057,38.181,1,1
259,10.795,黒,黒3,1460.8,766.7,92.079,38.157,1,1
260,10.837,黒,黒3,1461.0,766.7,92.078,38.182,1,1
261,10.878,黒,黒3,1461.1,767.0,92.054,38.255,1,1
262,10.92,黒,黒3,1461.1,767.0,92.05,38.273,1,1
263,10.962,黒,黒3,1461.2,767.0,92.053,38.279,1,1
264,11.003,黒,黒3,1461.2,767.1,92.044,38.299,1,1
265,11.045,黒,黒3,1461.2,767.0,92.064,38.25,1,1
266,11.087,黒,黒3,1460.9,767.1,92.022,38.308,1,1
